Datum;Tijd;Lgstk aantal stickers;Relatie nr_;Relatie collicode;Beladings aantallen;Product omschrijving 1;Transactieid;Opmerking5;Entry
2023-07-18 00:00:00.000;1754-01-01 09:49:15.763;1;K550221;174-NEUNKIRCHE;2x1;Buxus semp. Pyramide 60;161CB69B-5B43-4F58-AFF7-002F242314E8;DI;11805518
2023-07-18 00:00:00.000;1754-01-01 09:49:15.780;1;K510046;048-NEUOETTING;3x1;Buxus semp. Pyramide 60;161CB69B-5B43-4F58-AFF7-002F242314E8;DI;11805519
2023-07-18 00:00:00.000;1754-01-01 09:49:15.780;1;K510057;059-NEUSTADT;2x1;Buxus semp. Pyramide 60;161CB69B-5B43-4F58-AFF7-002F242314E8;DI;11805520
2023-07-18 00:00:00.000;1754-01-01 09:49:15.780;1;K510063;065-KOBLENZ;2x1;Buxus semp. Pyramide 60;161CB69B-5B43-4F58-AFF7-002F242314E8;DI;11805521
2023-07-18 00:00:00.000;1754-01-01 09:49:15.793;1;K510071;074-GERMERING;2x1;Buxus semp. Pyramide 60;161CB69B-5B43-4F58-AFF7-002F242314E8;DI;11805522
2023-07-18 00:00:00.000;1754-01-01 09:49:15.793;1;K550184;126-WAIBLINGEN;2x1;Buxus semp. Pyramide 60;161CB69B-5B43-4F58-AFF7-002F242314E8;DI;11805523
2023-07-18 00:00:00.000;1754-01-01 09:49:15.793;1;K510002;004-VOELS-CYTA;2x1;Buxus semp. Pyramide 60;161CB69B-5B43-4F58-AFF7-002F242314E8;WO;11805524
2023-07-18 00:00:00.000;1754-01-01 09:49:15.810;1;K510009;011-HEIDESHEIM;1x1;Buxus semp. Pyramide 60;161CB69B-5B43-4F58-AFF7-002F242314E8;WO;11805525
2023-07-18 00:00:00.000;1754-01-01 08:26:21.983;1;K510005;007-WIEN-HIRSCH;1x12;Euonymus jap. 'Kathy';AA0A90D5-AEA9-43C9-96E2-0096624643B9;WO;11802744
2023-07-18 00:00:00.000;1754-01-01 08:26:21.983;1;K550186;172-KLAGENFURT;1x12;Euonymus jap. 'Kathy';AA0A90D5-AEA9-43C9-96E2-0096624643B9;WO;11802745
2023-07-18 00:00:00.000;1754-01-01 08:26:22.000;1;K510076;082-RAIN (BLUM;2x12;Euonymus jap. 'Kathy';AA0A90D5-AEA9-43C9-96E2-0096624643B9;WO;11802746
2023-07-18 00:00:00.000;1754-01-01 08:26:22.000;1;K510102;112-KAMEN;1x12;Euonymus jap. 'Kathy';AA0A90D5-AEA9-43C9-96E2-0096624643B9;WO;11802747
2023-07-18 00:00:00.000;1754-01-01 09:32:18.397;1;K510001;003-WIEN II S;1x4;Euonymus Green Rocket;8C1B7E11-AFF1-490B-9742-00EA6BDBBEE5;DI;11805065
2023-07-18 00:00:00.000;1754-01-01 09:32:18.397;1;K510033;035-SAARBRUECK;1x4;Euonymus Green Rocket;8C1B7E11-AFF1-490B-9742-00EA6BDBBEE5;DI;11805066
2023-07-18 00:00:00.000;1754-01-01 09:32:18.397;1;K550163;129-FRANKFURT;1x4;Euonymus Green Rocket;8C1B7E11-AFF1-490B-9742-00EA6BDBBEE5;DI;11805067
2023-07-18 00:00:00.000;1754-01-01 09:32:18.413;1;K510008;010-PASCHING-LI;1x4;Euonymus Green Rocket;8C1B7E11-AFF1-490B-9742-00EA6BDBBEE5;WO;11805068
2023-07-18 00:00:00.000;1754-01-01 09:32:18.413;1;K510009;011-HEIDESHEIM;2x4;Euonymus Green Rocket;8C1B7E11-AFF1-490B-9742-00EA6BDBBEE5;WO;11805069
2023-07-18 00:00:00.000;1754-01-01 09:32:18.413;1;K510025;027-TRIER;1x4;Euonymus Green Rocket;8C1B7E11-AFF1-490B-9742-00EA6BDBBEE5;WO;11805070
2023-07-18 00:00:00.000;1754-01-01 09:32:18.413;1;K510030;032-NEUTRAUBLI;2x4;Euonymus Green Rocket;8C1B7E11-AFF1-490B-9742-00EA6BDBBEE5;WO;11805071
2023-07-18 00:00:00.000;1754-01-01 09:32:18.430;1;K510078;084-INGOLSTADT;2x4;Euonymus Green Rocket;8C1B7E11-AFF1-490B-9742-00EA6BDBBEE5;WO;11805072
2023-07-18 00:00:00.000;1754-01-01 09:32:18.430;1;K510095;104-DUSSELDORF;1x4;Euonymus Green Rocket;8C1B7E11-AFF1-490B-9742-00EA6BDBBEE5;WO;11805073
2023-07-18 00:00:00.000;1754-01-01 09:32:18.430;1;K550183;130-INGOLSTADT;1x4;Euonymus Green Rocket;8C1B7E11-AFF1-490B-9742-00EA6BDBBEE5;WO;11805074
2023-07-18 00:00:00.000;1754-01-01 15:32:52.923;1;K510091;097-KARLSRUHE;1x6;Taxus Baccata;BA01CE23-7A2B-4DAE-910C-017841A144EF;DI;11812427
2023-07-18 00:00:00.000;1754-01-01 08:40:27.533;1;K510056;058-WEIL;1x6;Hygrophila Polys. Rosanervig;2BF6CF7B-26B2-4D5D-AE40-01C2E87BDED1;DI;11803113
2023-07-18 00:00:00.000;1754-01-01 08:40:27.533;1;K550133;170-WELS;1x6;Hygrophila Polys. Rosanervig;2BF6CF7B-26B2-4D5D-AE40-01C2E87BDED1;WO;11803114
2023-07-18 00:00:00.000;1754-01-01 08:40:27.547;1;K510062;064-BAD KREUZN;1x6;Hygrophila Polys. Rosanervig;2BF6CF7B-26B2-4D5D-AE40-01C2E87BDED1;WO;11803115
2023-07-18 00:00:00.000;1754-01-01 08:35:16.503;1;K550274;178-WIEN AUHOF;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;DI;11802963
2023-07-18 00:00:00.000;1754-01-01 08:35:16.503;1;K510032;034-NEU-ULM;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;DI;11802964
2023-07-18 00:00:00.000;1754-01-01 08:35:16.503;1;K510046;048-NEUOETTING;5x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;DI;11802965
2023-07-18 00:00:00.000;1754-01-01 08:35:16.520;1;K510047;049-ALBSTADT;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;DI;11802966
2023-07-18 00:00:00.000;1754-01-01 08:35:16.520;1;K510053;055-PASSAU;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;DI;11802967
2023-07-18 00:00:00.000;1754-01-01 08:35:16.520;1;K510055;057-OBERKOTZAU;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;DI;11802968
2023-07-18 00:00:00.000;1754-01-01 08:35:16.520;1;K510057;059-NEUSTADT;4x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;DI;11802969
2023-07-18 00:00:00.000;1754-01-01 08:35:16.520;1;K510098;108-HAMBURG II;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;DI;11802970
2023-07-18 00:00:00.000;1754-01-01 08:35:16.520;1;K510099;109-FRECHEN;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;DI;11802971
2023-07-18 00:00:00.000;1754-01-01 08:35:16.537;1;K550218;113-CHEMNITZ;6x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;DI;11802972
2023-07-18 00:00:00.000;1754-01-01 08:35:16.540;1;K550220;136-BOUS;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;DI;11802973
2023-07-18 00:00:00.000;1754-01-01 08:35:16.540;1;K510002;004-VOELS-CYTA;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;WO;11802974
2023-07-18 00:00:00.000;1754-01-01 08:35:16.540;1;K550207;171-WIENER NEUS;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;WO;11802975
2023-07-18 00:00:00.000;1754-01-01 08:35:16.540;1;K550186;172-KLAGENFURT;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;WO;11802976
2023-07-18 00:00:00.000;1754-01-01 08:35:16.540;1;K510011;013-BENSHEIM;3x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;WO;11802977
2023-07-18 00:00:00.000;1754-01-01 08:35:16.557;1;K510093;101-TRAUNSTEIN;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;WO;11802978
2023-07-18 00:00:00.000;1754-01-01 08:35:16.557;1;K550106;119-FREIBURG;3x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;WO;11802979
2023-07-18 00:00:00.000;1754-01-01 08:35:16.557;1;K550181;127-NUERNBERG;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;WO;11802980
2023-07-18 00:00:00.000;1754-01-01 08:35:16.557;1;K550183;130-INGOLSTADT;2x1;Buxus semp. Kugel 18/20;6B9EBFC7-67E5-4D42-8E72-01C64B0E3219;WO;11802981
2023-07-18 00:00:00.000;1754-01-01 10:36:38.390;1;K510075;080-SENDEN;1x4;PHALA. VICTORIO 2 TR OPTI;25F29C97-D494-43BD-AF26-02239D5F010C;DI;11806231
2023-07-18 00:00:00.000;1754-01-01 10:36:38.403;1;K510039;041-STRAUBING;1x4;PHALA. VICTORIO 2 TR OPTI;25F29C97-D494-43BD-AF26-02239D5F010C;WO;11806232
2023-07-18 00:00:00.000;1754-01-01 10:36:38.403;1;K510076;082-RAIN (BLUM;1x4;PHALA. VICTORIO 2 TR OPTI;25F29C97-D494-43BD-AF26-02239D5F010C;WO;11806233
2023-07-18 00:00:00.000;1754-01-01 16:27:08.687;1;K500021;443-VERSAND;1x1;GUZMANIA TALA;BB4625F4-A394-4FAF-81EB-02CE7280A183;DI;11812770
2023-07-18 00:00:00.000;1754-01-01 14:14:08.437;1;K550230;176-ANIF;2x4;Snack Paprika Rot;7ACAA1E3-DC1C-4F42-9187-0367C3F530CD;WO;11810619
2023-07-18 00:00:00.000;1754-01-01 14:14:08.453;1;K550221;174-NEUNKIRCHE;2x4;Snack Paprika Rot;7ACAA1E3-DC1C-4F42-9187-0367C3F530CD;DI;11810620
2023-07-18 00:00:00.000;1754-01-01 14:14:08.453;1;K510010;012-WITTEN;2x4;Snack Paprika Rot;7ACAA1E3-DC1C-4F42-9187-0367C3F530CD;DI;11810621
2023-07-18 00:00:00.000;1754-01-01 14:14:08.470;1;K510064;066-KOENIGSBRU;1x4;Snack Paprika Rot;7ACAA1E3-DC1C-4F42-9187-0367C3F530CD;DI;11810622
2023-07-18 00:00:00.000;1754-01-01 14:14:08.470;1;K510066;068-FRIEDRICHS;1x4;Snack Paprika Rot;7ACAA1E3-DC1C-4F42-9187-0367C3F530CD;DI;11810623
2023-07-18 00:00:00.000;1754-01-01 14:14:08.470;1;K510079;085-DIETZENBAC;1x4;Snack Paprika Rot;7ACAA1E3-DC1C-4F42-9187-0367C3F530CD;DI;11810624
